LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,LEVEL
Conv Ctr Financing Fd-Spec Rev,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,,,8271000,,4
Conv Ctr Financing Fd-Spec Rev,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,986773,1026855,1081000,1054934,4
Conv Ctr Financing Fd-Spec Rev,Non-Departmental,Non-Program Revenues,Occupancy/Food Tax,,,,14301000,16176427,17820875,19966000,23887002,4
Conv Ctr Financing Fd-Spec Rev,Non-Departmental,Non-Program Revenues Total,,,,,14301000,17163200,18847730,29318000,24941936,3
Conv Ctr Financing Fd-Spec Rev,Non-Departmental Total,,,,,,14301000,17163200,18847730,29318000,24941936,2
Conv Ctr Financing Fd-Spec Rev Total,,,,,,,14301000,17163200,18847730,29318000,24941936,1
E 911 State Tax Fund-Operating,Emergency Communications,Non-Program Revenues,Approp From Prior Year,,,,,328921,519951,473659,400000,4
E 911 State Tax Fund-Operating,Emergency Communications,Non-Program Revenues,Interest On Investments,,,,,,,,5110,4
E 911 State Tax Fund-Operating,Emergency Communications,Non-Program Revenues,State E911 Tax Revenue,,,,2398232,2160268,2161215,2161215,2875526,4
E 911 State Tax Fund-Operating,Emergency Communications,Non-Program Revenues Total,,,,,2398232,2489189,2681166,2634874,3280636,3
E 911 State Tax Fund-Operating,Emergency Communications Total,,,,,,2398232,2489189,2681166,2634874,3280636,2
E 911 State Tax Fund-Operating Total,,,,,,,2398232,2489189,2681166,2634874,3280636,1
Economic Development Fund,Non-Departmental,Blank Program Code,Fr 100 General Fd,,,,1048129,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Fr 310 Public Utilities,,,,75000,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,8340,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Interlocal Agreement-Green Squ,,,,900000,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code,Interlocal Agreement-St. Aug S,,,,100000,,,,,4
Economic Development Fund,Non-Departmental,Blank Program Code Total,,,,,2131469,,,,,3
Economic Development Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,,,399500,,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Fr 100 General Fd,,,,,1223102,1316008,1030696,1281190,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,7200,5754,5754,5754,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interlocal Agreement-Green Squ,,,,,800000,200000,400000,400000,4
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interlocal Agreement-St. Aug S,,,,,100000,100000,100000,100000,4
Economic Development Fund,Non-Departmental,Non-Program Revenues Total,,,,,,2130302,1621762,1935950,1786944,3
Economic Development Fund,Non-Departmental Total,,,,,,2131469,2130302,1621762,1935950,1786944,2
Economic Development Fund Total,,,,,,,2131469,2130302,1621762,1935950,1786944,1
Emergency Shelter Grant,Community Development,Grant Year 11/12,Federal Grants,,,,108680,,,,,4
Emergency Shelter Grant,Community Development,Grant Year 11/12 Total,,,,,108680,,,,,3
Emergency Shelter Grant,Community Development,Grant Year 2012/2013,Federal Grants,,,,,195403,,,,4
Emergency Shelter Grant,Community Development,Grant Year 2012/2013 Total,,,,,,195403,,,,3
Emergency Shelter Grant,Community Development,Grant Year 2013/2014,Federal Grants,,,,,,178932,,,4
Emergency Shelter Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,178932,,,3
Emergency Shelter Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,217085,,4
Emergency Shelter Grant,Community Development,Non-Program Revenues Total,,,,,,,,217085,,3
Emergency Shelter Grant,Community Development Total,,,,,,108680,195403,178932,217085,,2
Emergency Shelter Grant Total,,,,,,,108680,195403,178932,217085,,1
Emergency Solution Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,,239845,4
Emergency Solution Grant,Community Development,Non-Program Revenues Total,,,,,,,,,239845,3
Emergency Solution Grant,Community Development Total,,,,,,,,,,239845,2
Emergency Solution Grant Total,,,,,,,,,,,239845,1
General Debt Service Fund,Non-Departmental,Blank Program Code,Amphitheater Rent,,,,1000000,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 100 For Debt Svc,,,,37254355,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 545 St Facilities,,,,3100000,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 610 Park Acq-Fac Fees,,,,900000,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 720 Hsing Bond 90,,,,400000,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Fr 736 Trans Hsing,,,,62717,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,182520,,,,,4
General Debt Service Fund,Non-Departmental,Blank Program Code Total,,,,,42899592,,,,,3
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Amphitheater Rent,,,,,1000000,,,,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 100 For Debt Svc,,,,,41935177,40757568,46562000,56149950,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 501-Tech Cap Proj,,,,,3576830,3239787,3187000,3134187,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 545 St Facilities,,,,,2700000,2781000,2865000,2951100,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 610 Park Acq-Fac Fees,,,,,1420000,1462600,1506000,1551000,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 652 Walnut Crk Amph,,,,,,1000000,1000000,1000000,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 720 Hsing Bond 90,,,,,400000,400000,400000,400000,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 736 Trans Hsing,,,,,62717,62717,28684,28684,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,142458,123500,193700,280600,4
General Debt Service Fund,Non-Departmental,Non-Program Revenues Total,,,,,,51237182,49827172,55742384,65495521,3
General Debt Service Fund,Non-Departmental Total,,,,,,42899592,51237182,49827172,55742384,65495521,2
General Debt Service Fund,Treasury Office,Non-Program Revenues,Approp From Prior Year,,,,968608,1291418,2708286,2924970,10826255,4
General Debt Service Fund,Treasury Office,Non-Program Revenues,Fr 502 Enterprise Res Planning,,,,3680988,,,,,4
General Debt Service Fund,Treasury Office,Non-Program Revenues,Fr 642 RCC/PAC Operations Fd,,,,164946,164946,164946,164946,164946,4
General Debt Service Fund,Treasury Office,Non-Program Revenues Total,,,,,4814542,1456364,2873232,3089916,10991201,3
General Debt Service Fund,Treasury Office Total,,,,,,4814542,1456364,2873232,3089916,10991201,2
General Debt Service Fund Total,,,,,,,47714134,52693546,52700404,58832300,76486722,1
General Fund,Development Services,Non-Program Revenues,Express Svc Surcharge,,,,,,550000,700000,964000,4
General Fund,Development Services,Non-Program Revenues,Insp-Cert Of Eligibility,,,,,,2500,2500,3000,4
General Fund,Development Services,Non-Program Revenues,Permit Fees-Other,,,,,,6875,6200,7200,4
General Fund,Development Services,Non-Program Revenues,Sign Permit Fee,,,,,,,,120000,4
General Fund,Development Services,Non-Program Revenues,Zoning & Subdivision Fees,,,,,,,,431000,4
General Fund,Development Services,Non-Program Revenues Total,,,,,,,559375,708700,1525200,3
General Fund,Development Services Total,,,,,,,,559375,708700,1525200,2
General Fund,Emergency Communications,Blank Program Code,County Emd Support,,,,185763,,,,,4
General Fund,Emergency Communications,Blank Program Code,Ecc - Municipal Shares,,,,2053097,,,,,4
General Fund,Emergency Communications,Blank Program Code Total,,,,,2238860,,,,,3
General Fund,Emergency Communications,Non-Program Revenues,County Emd Support,,,,,170820,184693,184735,195140,4
General Fund,Emergency Communications,Non-Program Revenues,Ecc - Municipal Shares,,,,,1880787,2172266,2286937,2356400,4
General Fund,Emergency Communications,Non-Program Revenues Total,,,,,,2051607,2356959,2471672,2551540,3
General Fund,Emergency Communications Total,,,,,,2238860,2051607,2356959,2471672,2551540,2
General Fund,Fire Adm,Blank Program Code,County Hazmat Support,,,,200000,,,,,4
General Fund,Fire Adm,Blank Program Code,Fire Alarm Permit Fee,,,,131250,,,,,4
General Fund,Fire Adm,Blank Program Code,Fire False Alarm Fee,,,,30000,,,,,4
General Fund,Fire Adm,Blank Program Code,Fire Inspct Penalty (Wcpss 90%,,,,1000,,,,,4
General Fund,Fire Adm,Blank Program Code,Fire Protection Reimb,,,,1146382,,,,,4
General Fund,Fire Adm,Blank Program Code,Inspection Fees-Fire Dept,,,,733450,,,,,4
General Fund,Fire Adm,Blank Program Code,Inspection Fees-Sprinkler,,,,105000,,,,,4
General Fund,Fire Adm,Blank Program Code,Reinspection Fees-Sprinkler,,,,21000,,,,,4
General Fund,Fire Adm,Blank Program Code Total,,,,,2368082,,,,,3
General Fund,Fire Adm,Non-Program Revenues,County Hazmat Support,,,,,200000,200000,233649,233649,4
General Fund,Fire Adm,Non-Program Revenues,Fire Alarm Permit Fee,,,,,136250,161000,175000,250000,4
General Fund,Fire Adm,Non-Program Revenues,Fire False Alarm Fee,,,,,30000,30000,35000,30000,4
General Fund,Fire Adm,Non-Program Revenues,Fire Inspct Penalty (Wcpss 90%,,,,,1000,1000,1000,1000,4
General Fund,Fire Adm,Non-Program Revenues,Fire Permits-Miscellaneous,,,,,,,,15000,4
General Fund,Fire Adm,Non-Program Revenues,Fire Protection Reimb,,,,,988000,988000,988000,1009688,4
General Fund,Fire Adm,Non-Program Revenues,Inspection Fees-Fire Dept,,,,,733450,1099650,1010000,1120000,4
General Fund,Fire Adm,Non-Program Revenues,Inspection Fees-Sprinkler,,,,,125000,230000,300000,350000,4
General Fund,Fire Adm,Non-Program Revenues,Reinspection Fees-Sprinkler,,,,,15000,10000,11000,15000,4
General Fund,Fire Adm,Non-Program Revenues Total,,,,,,2228700,2719650,2753649,3024337,3
General Fund,Fire Adm Total,,,,,,2368082,2228700,2719650,2753649,3024337,2
General Fund,Information Technology Admin,Community Tech Outreach-IT,Donations/Contributions,,,,,,,,20000,4
General Fund,Information Technology Admin,Community Tech Outreach-IT Total,,,,,,,,,20000,3
General Fund,Information Technology Admin Total,,,,,,,,,,20000,2
General Fund,Inspections,Blank Program Code,Commerical Review Fee,,,,16038,,,,,4
General Fund,Inspections,Blank Program Code,Conditional Svc Fee,,,,77603,,,,,4
General Fund,Inspections,Blank Program Code,Encroachment,,,,40000,,,,,4
General Fund,Inspections,Blank Program Code,Express Svc Surcharge,,,,700000,,,,,4
General Fund,Inspections,Blank Program Code,H/E-Minimum Housing,,,,5500,,,,,4
General Fund,Inspections,Blank Program Code,H/E-P/N Vehicle,,,,500,,,,,4
General Fund,Inspections,Blank Program Code,H/E-P/N Violations,,,,15000,,,,,4
General Fund,Inspections,Blank Program Code,H/E-Rental Registration Progra,,,,925000,,,,,4
General Fund,Inspections,Blank Program Code,H/E-Unsafe,,,,600,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-Minor Encroac,,,,2000,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-News Rack,,,,2500,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-Outdoor Dinin,,,,5000,,,,,4
General Fund,Inspections,Blank Program Code,Insp Private Use-Street Vendor,,,,3500,,,,,4
General Fund,Inspections,Blank Program Code,Insp-Cert Of Eligibility,,,,2500,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Homeowner Recover Fee-,,,,4000,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees - After Hours,,,,38000,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Bldg,,,,1038170,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Electrical,,,,1241640,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Hv Ac,,,,931230,,,,,4
General Fund,Inspections,Blank Program Code,Inspection Fees-Plumbing,,,,633596,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Prop Admin Fees,,,,1200,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Prop Civil Citations,,,,24000,,,,,4
General Fund,Inspections,Blank Program Code,Inspect-Prop Permit Fees,,,,5000,,,,,4
General Fund,Inspections,Blank Program Code,Insp-Encroachment Agreement,,,,1000,,,,,4
General Fund,Inspections,Blank Program Code,Journeyman Exam Fees,,,,3500,,,,,4
General Fund,Inspections,Blank Program Code,Landlord Training Class Fees,,,,2500,,,,,4
General Fund,Inspections,Blank Program Code,Nuisance Abatements,,,,100000,,,,,4
General Fund,Inspections,Blank Program Code,Permit Fees-Other,,,,10347,,,,,4
General Fund,Inspections,Blank Program Code,Pony Express Plan Review,,,,42500,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Bldg,,,,72946,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Electrical,,,,117956,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Hv Ac,,,,87950,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Other,,,,6726,,,,,4
General Fund,Inspections,Blank Program Code,Reinspection Fees-Plumbing,,,,144858,,,,,4
General Fund,Inspections,Blank Program Code,Second Review Fee,,,,26902,,,,,4
General Fund,Inspections,Blank Program Code,Sign Permit Fee,,,,103470,,,,,4
General Fund,Inspections,Blank Program Code,Temporary Co Fee,,,,8278,,,,,4
General Fund,Inspections,Blank Program Code,Violations-Housing (Wcpss 90%),,,,26000,,,,,4
General Fund,Inspections,Blank Program Code,Violations-Streets (Wcpss 90%),,,,1400,,,,,4
General Fund,Inspections,Blank Program Code,Violations-Zoning (Wcpss 90%),,,,5000,,,,,4
General Fund,Inspections,Blank Program Code,Zoning & Subdivision Fees,,,,125000,,,,,4
General Fund,Inspections,Blank Program Code,Zoning Permit Fee,,,,199697,,,,,4
General Fund,Inspections,Blank Program Code,Zoning-Code Violations,,,,3500,,,,,4
General Fund,Inspections,Blank Program Code,Zoning-P/N Vehicle,,,,2000,,,,,4
General Fund,Inspections,Blank Program Code Total,,,,,6804107,,,,,3
General Fund,Inspections,Non-Program Revenues,Commerical Review Fee,,,,,20000,29000,24921,30000,4
General Fund,Inspections,Non-Program Revenues,Conditional Svc Fee,,,,,90000,129000,250000,650000,4
General Fund,Inspections,Non-Program Revenues,Encroachment,,,,,40000,20000,,,4
General Fund,Inspections,Non-Program Revenues,Express Svc Surcharge,,,,,750000,,,,4
General Fund,Inspections,Non-Program Revenues,H/E-Minimum Housing,,,,,6000,4200,,,4
General Fund,Inspections,Non-Program Revenues,H/E-P/N Vehicle,,,,,500,200,,,4
General Fund,Inspections,Non-Program Revenues,H/E-P/N Violations,,,,,15000,17000,,,4
General Fund,Inspections,Non-Program Revenues,H/E-Rental Registration Progra,,,,,250000,250000,,,4
General Fund,Inspections,Non-Program Revenues,H/E-Unsafe,,,,,500,500,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-Minor Encroac,,,,,2000,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-News Rack,,,,,2500,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-Outdoor Dinin,,,,,5000,,,,4
General Fund,Inspections,Non-Program Revenues,Insp Private Use-Street Vendor,,,,,3500,,,,4
General Fund,Inspections,Non-Program Revenues,Insp-Cert Of Eligibility,,,,,2500,,,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Homeowner Recover Fee-,,,,,4000,,,,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees - After Hours,,,,,75000,150000,130000,160000,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Bldg,,,,,1400000,2300000,1858500,2250000,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Electrical,,,,,1500000,2000000,1610700,1800000,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Hv Ac,,,,,1000000,1500000,1424850,1550000,4
General Fund,Inspections,Non-Program Revenues,Inspection Fees-Plumbing,,,,,850000,1350000,1300950,1300000,4
General Fund,Inspections,Non-Program Revenues,Inspect-Prop Admin Fees,,,,,1000,19000,,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Prop Civil Citations,,,,,10000,49000,,,4
General Fund,Inspections,Non-Program Revenues,Inspect-Prop Permit Fees,,,,,10000,3500,,,4
General Fund,Inspections,Non-Program Revenues,Insp-Encroachment Agreement,,,,,1000,,,,4
General Fund,Inspections,Non-Program Revenues,Journeyman Exam Fees,,,,,2500,4000,500,500,4
General Fund,Inspections,Non-Program Revenues,Landlord Training Class Fees,,,,,1000,2300,,,4
General Fund,Inspections,Non-Program Revenues,Nuisance Abatements,,,,,75000,124000,,,4
General Fund,Inspections,Non-Program Revenues,Permit Fees-Other,,,,,5000,,,,4
General Fund,Inspections,Non-Program Revenues,Pony Express Plan Review,,,,,37000,30000,50000,50000,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Bldg,,,,,126000,170000,148234,120000,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Electrical,,,,,175000,160000,238836,200000,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Hv Ac,,,,,140000,170000,169736,200000,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Other,,,,,7000,8500,7624,13600,4
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Plumbing,,,,,160000,137000,182332,140000,4
General Fund,Inspections,Non-Program Revenues,Second Review Fee,,,,,32000,13000,40542,12700,4
General Fund,Inspections,Non-Program Revenues,Sign Permit Fee,,,,,110000,,,,4
General Fund,Inspections,Non-Program Revenues,Temporary Co Fee,,,,,4000,15000,5000,17000,4
General Fund,Inspections,Non-Program Revenues,Violations-Housing (Wcpss 90%),,,,,80000,44000,,,4
General Fund,Inspections,Non-Program Revenues,Violations-Streets (Wcpss 90%),,,,,1400,1400,1400,1400,4
General Fund,Inspections,Non-Program Revenues,Violations-Zoning (Wcpss 90%),,,,,5000,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning & Subdivision Fees,,,,,275000,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning Permit Fee,,,,,200000,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning-Code Violations,,,,,3500,,,,4
General Fund,Inspections,Non-Program Revenues,Zoning-P/N Vehicle,,,,,2000,,,,4
General Fund,Inspections,Non-Program Revenues Total,,,,,,7479900,8700600,7444125,8495200,3
General Fund,Inspections Total,,,,,,6804107,7479900,8700600,7444125,8495200,2
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,Misc Revenues,,,,,,,,16728,4
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT Total,,,,,,,,,16728,3
General Fund,IT Enterprise Infrastructure M Total,,,,,,,,,,16728,2
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-Minimum Housing,,,,,,,6000,5000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-P/N Vehicle,,,,,,,200,200,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-P/N Violations,,,,,,,13500,13500,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-Rental Registration Progra,,,,,,,250000,260000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-Unsafe,,,,,,,500,500,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Inspect-Prop Admin Fees,,,,,,,15000,15000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Inspect-Prop Civil Citations,,,,,,,32000,32000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Landlord Training Class Fees,,,,,,,2300,1500,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Nuisance Abatements,,,,,,,171869,100000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Violations-Housing (Wcpss 90%),,,,,,,44000,40000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Violations-Zoning (Wcpss 90%),,,,,,,8000,8000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Zoning-P/N Vehicle,,,,,,,3000,3000,4
General Fund,Neighborhood Code Enforcement,Non-Program Revenues Total,,,,,,,,546369,478700,3
General Fund,Neighborhood Code Enforcement Total,,,,,,,,,546369,478700,2
General Fund,Non-Departmental,Blank Program Code,Abc Revenues,,,,1200000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Approp From Prior Year,,,,13000000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Automobile License,,,,7700000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Current Yr Tax Levy,,,,183231679,,,,,4
General Fund,Non-Departmental,Blank Program Code,Current Yr Tax Levy-Msd (Combi,,,,1177336,,,,,4
General Fund,Non-Departmental,Blank Program Code,Dog/Cat Tags,,,,32000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 130 Revolving Fund,,,,154172,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 210 For Ind Cost,,,,63000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 210 Reimb Personnel Costs,,,,12000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 251 Equipment Fund,,,,155000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 260 For Ind Cost,,,,330415,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Cons Svcs,,,,6661480,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Ecc,,,,50000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Engineering,,,,1048047,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Gen Svcs,,,,6627088,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Gis,,,,160000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb I/S Personnel Cos,,,,285390,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Sewer St Cuts,,,,70000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 310 Reimb Water St Cuts,,,,1250000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 442 Reimb Ind Costs,,,,540734,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 460 Reimb Cons Svcs,,,,318460,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 460 Reimb Direct St Strmwtr,,,,3091232,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 460 Reimb Gis,,,,178901,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 460 Reimb Ind Costs,,,,1758663,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 525 St Improvement,,,,42345,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 642 For Ind Cost,,,,1647637,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 700 Powell Bill Fd,,,,5672520,,,,,4
General Fund,Non-Departmental,Blank Program Code,Fr 741 For Ind Cost,,,,302000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Hillsborough MSD-Current Year,,,,176408,,,,,4
General Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,1143469,,,,,4
General Fund,Non-Departmental,Blank Program Code,Last Year Tax Levy,,,,2110544,,,,,4
General Fund,Non-Departmental,Blank Program Code,Local Sales Tax,,,,29858518,,,,,4
General Fund,Non-Departmental,Blank Program Code,Misc Revenues,,,,700000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Nc Beer & Wine Tax,,,,1750000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Nc Franchise Tax,,,,24023338,,,,,4
General Fund,Non-Departmental,Blank Program Code,Occupancy Tax,,,,680000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Payment In Lieu Of Taxes-Rha,,,,219940,,,,,4
General Fund,Non-Departmental,Blank Program Code,Pilot-Centennial Authority,,,,840356,,,,,4
General Fund,Non-Departmental,Blank Program Code,Prior Years Tax Levy,,,,224398,,,,,4
General Fund,Non-Departmental,Blank Program Code,Privilege License (Sch B),,,,7100648,,,,,4
General Fund,Non-Departmental,Blank Program Code,Prop Tax Late List Pen (Wcpss,,,,152000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Reinspection Fees - Housing,,,,55000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Rental Income,,,,8000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Rent-One Exchange Plaza,,,,423654,,,,,4
General Fund,Non-Departmental,Blank Program Code,Supplemental Sales Tax,,,,34504116,,,,,4
General Fund,Non-Departmental,Blank Program Code,Tax On Heavy Equip Rentals,,,,210000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Tax On Rental Vehicles,,,,400000,,,,,4
General Fund,Non-Departmental,Blank Program Code,Tax Penalties & Cost,,,,694659,,,,,4
General Fund,Non-Departmental,Blank Program Code Total,,,,,342035147,,,,,3
General Fund,Non-Departmental,Non-Program Revenues,Abc Revenues,,,,,1245000,1300000,1570000,1657000,4
General Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,13000000,13403396,13000000,13000000,4
