Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
General Fund,Community Svcs,Substance Abuse,Direct Expenses,0,7000,FALSE
General Fund,Community Svcs,Volunteer/Human Svcs,Direct Expenses,-49228,11272,FALSE
General Fund,Community Svcs,Volunteer/Human Svcs,Employee Benefits,27197.54,42235.54,FALSE
General Fund,Community Svcs,Volunteer/Human Svcs,Interfund Transfers In/Out,65744,65744,FALSE
General Fund,Community Svcs,Volunteer/Human Svcs,Miscellaneous,0,1350,FALSE
General Fund,Community Svcs,Volunteer/Human Svcs,Other Expense,-105783,,FALSE
General Fund,Community Svcs,Volunteer/Human Svcs,Salaries and Wages,86361.76,145245.42,FALSE
General Fund,Community Svcs,Youth Employment,Direct Expenses,1500,19335,FALSE
General Fund,Community Svcs,Youth Employment,Employee Benefits,283.82,42125.07,FALSE
General Fund,Community Svcs,Youth Employment,Miscellaneous,0,2500,FALSE
General Fund,Community Svcs,Youth Employment,Salaries and Wages,25468.91,418339.24,FALSE
General Fund,Construction Mgmt,Adm-Comm Dev Svcs,Capital Equipment,-1500,1000,FALSE
General Fund,Construction Mgmt,Adm-Comm Dev Svcs,Direct Expenses,-7882,86360,FALSE
General Fund,Construction Mgmt,Adm-Comm Dev Svcs,Employee Benefits,11536.87,276454.68,FALSE
General Fund,Construction Mgmt,Adm-Comm Dev Svcs,Miscellaneous,-9500,12300,FALSE
General Fund,Construction Mgmt,Adm-Comm Dev Svcs,Salaries and Wages,104385.8,1044858.85,FALSE
General Fund,Development Services,Adm-Comm Dev Svcs,Capital Project Expense,75000,75000,FALSE
General Fund,Development Services,Adm-Comm Dev Svcs,Direct Expenses,-7120,18405,FALSE
General Fund,Development Services,Adm-Comm Dev Svcs,Employee Benefits,69275.6,94796.44,FALSE
General Fund,Development Services,Adm-Comm Dev Svcs,Miscellaneous,-3600,1400,FALSE
General Fund,Development Services,Adm-Comm Dev Svcs,Salaries and Wages,256394.03,377053.02,FALSE
General Fund,Development Services,Business Solutions,Direct Expenses,3700,38950,FALSE
General Fund,Development Services,Business Solutions,Employee Benefits,84786.04,84786.04,FALSE
General Fund,Development Services,Business Solutions,Miscellaneous,-1000,16200,FALSE
General Fund,Development Services,Business Solutions,Salaries and Wages,279247.75,279247.75,FALSE
General Fund,Development Services,Customer Service Center,Direct Expenses,-20808,217382,FALSE
General Fund,Development Services,Customer Service Center,Employee Benefits,22303.98,410878.68,FALSE
General Fund,Development Services,Customer Service Center,Miscellaneous,29554,31000,FALSE
General Fund,Development Services,Customer Service Center,Salaries and Wages,14903.46,1295128.76,FALSE
General Fund,Development Services,Development Plans Review,Direct Expenses,-2350,21366,FALSE
General Fund,Development Services,Development Plans Review,Employee Benefits,7214.25,281449.13,FALSE
General Fund,Development Services,Development Plans Review,Miscellaneous,-2520,9750,FALSE
General Fund,Development Services,Development Plans Review,Salaries and Wages,25594.97,1009561.26,FALSE
General Fund,Emergency Communications,City Cost-Ecc,Capital Equipment,0,5506,FALSE
General Fund,Emergency Communications,City Cost-Ecc,Direct Expenses,50000,172500,FALSE
General Fund,Emergency Communications,City Cost-Ecc,Employee Benefits,13120.97,109964.76,FALSE
General Fund,Emergency Communications,City Cost-Ecc,Miscellaneous,0,6244,FALSE
General Fund,Emergency Communications,City Cost-Ecc,Salaries and Wages,34625.09,310765.84,FALSE
General Fund,Emergency Communications,County Cost-Ecc,Employee Benefits,6440.46,46745.3,FALSE
General Fund,Emergency Communications,County Cost-Ecc,Miscellaneous,0,650,FALSE
General Fund,Emergency Communications,County Cost-Ecc,Salaries and Wages,4920.62,151837.74,FALSE
General Fund,Emergency Communications,Shared Cost-Ecc,Direct Expenses,316,271179,FALSE
General Fund,Emergency Communications,Shared Cost-Ecc,Employee Benefits,25033.11,1750943.91,FALSE
General Fund,Emergency Communications,Shared Cost-Ecc,Miscellaneous,28900,62866,FALSE
General Fund,Emergency Communications,Shared Cost-Ecc,Salaries and Wages,-2952.33,5141559.37,FALSE
General Fund,Emergency Communications,Shared Cost-Ecc Backup,Direct Expenses,-1242,44314,FALSE
General Fund,Emergency Communications,Shared Cost-Ecc Backup Bldg Ma,Direct Expenses,0,46656,FALSE
General Fund,Finance Administration,Adm-Finance,Direct Expenses,0,10100,FALSE
General Fund,Finance Administration,Adm-Finance,Employee Benefits,6193.83,81072.09,FALSE
General Fund,Finance Administration,Adm-Finance,Miscellaneous,-3100,92500,FALSE
General Fund,Finance Administration,Adm-Finance,Salaries and Wages,6265.46,347492.23,FALSE
General Fund,Fire Adm,Admn-Ps,Direct Expenses,5148.56,80731.56,FALSE
General Fund,Fire Adm,Admn-Ps,Employee Benefits,3560.52,134164.06,FALSE
General Fund,Fire Adm,Admn-Ps,Miscellaneous,13340,27025,FALSE
General Fund,Fire Adm,Admn-Ps,Other Expense,-7355,1017820,FALSE
General Fund,Fire Adm,Admn-Ps,Salaries and Wages,5499.6,515545.7,FALSE
General Fund,Fire Adm,Fire-IT Program,Capital Equipment,0,87800,FALSE
General Fund,Fire Adm,Fire-IT Program,Direct Expenses,5208,439660,FALSE
General Fund,Fire Adm,Fire-IT Program,Employee Benefits,4861.5,68056.29,FALSE
General Fund,Fire Adm,Fire-IT Program,Miscellaneous,0,15000,FALSE
General Fund,Fire Adm,Fire-IT Program,Salaries and Wages,6943.8,208144.61,FALSE
General Fund,Fire Operations,Fire Program,Direct Expenses,81842.48,1215534.48,FALSE
General Fund,Fire Operations,Fire Program,Employee Benefits,315334.68,9789386.35,FALSE
General Fund,Fire Operations,Fire Program,Miscellaneous,-12940,38000,FALSE
General Fund,Fire Operations,Fire Program,Salaries and Wages,608159.85,32049535.36,FALSE
General Fund,Fire Support Svcs,Fire Maintenance Shop,Direct Expenses,80361.6,1542103.6,FALSE
General Fund,Fire Support Svcs,Fire Maintenance Shop,Employee Benefits,6811.67,90626.21,FALSE
General Fund,Fire Support Svcs,Fire Maintenance Shop,Miscellaneous,0,7000,FALSE
General Fund,Fire Support Svcs,Fire Maintenance Shop,Salaries and Wages,-2083.56,307680.06,FALSE
General Fund,Fire Support Svcs,Fire Program,Direct Expenses,70894.72,2141389.72,FALSE
General Fund,Fire Support Svcs,Fire Program,Employee Benefits,6352.88,120731.88,FALSE
General Fund,Fire Support Svcs,Fire Program,Miscellaneous,-310,,FALSE
General Fund,Fire Support Svcs,Fire Program,Salaries and Wages,17458.47,405777.64,FALSE
General Fund,Fire Support Svcs,Non-Program Revenues,Interfund Transfers In/Out,0,96892,FALSE
General Fund,Fire Training,Fire-Usar Team Expd,Capital Equipment,0,10000,FALSE
General Fund,Fire Training,Fire-Usar Team Expd,Direct Expenses,0,24500,FALSE
General Fund,Fire Training,Rsv-Cor Fire Usar Reserve,Direct Expenses,0,98737,FALSE
General Fund,Fire Training,Training & Standards-Ps,Capital Equipment,0,10000,FALSE
General Fund,Fire Training,Training & Standards-Ps,Direct Expenses,74493.48,406559.48,FALSE
General Fund,Fire Training,Training & Standards-Ps,Employee Benefits,7198.22,179915.7,FALSE
General Fund,Fire Training,Training & Standards-Ps,Miscellaneous,1661,35530,FALSE
General Fund,Fire Training,Training & Standards-Ps,Salaries and Wages,13791.73,649758.55,FALSE
General Fund,Fire-Hazmat Operations,Fire-Hazmat,Direct Expenses,-272,73050,FALSE
General Fund,Fire-Hazmat Operations,Fire-Hazmat,Miscellaneous,-20,10950,FALSE
General Fund,Housing & Neighborhoods Dept,Housing Programs,Employee Benefits,35753.83,35753.83,FALSE
General Fund,Housing & Neighborhoods Dept,Housing Programs,Salaries and Wages,188702.86,188702.86,FALSE
General Fund,Human Resources,"""Class, Pay & Benefits",Direct Expenses,450000,568532,FALSE
General Fund,Human Resources,"""Class, Pay & Benefits",Employee Benefits,-6367.17,145346.07,FALSE
General Fund,Human Resources,"""Class, Pay & Benefits",Miscellaneous,-5585,22000,FALSE
General Fund,Human Resources,"""Class, Pay & Benefits",Salaries and Wages,-2878.39,492248.29,FALSE
General Fund,Human Resources,Adm-Personnel,Direct Expenses,0,96964,FALSE
General Fund,Human Resources,Adm-Personnel,Employee Benefits,-2963.64,138063.7,FALSE
General Fund,Human Resources,Adm-Personnel,Miscellaneous,3095,28550,FALSE
General Fund,Human Resources,Adm-Personnel,Salaries and Wages,36521.97,596587.1,FALSE
General Fund,Human Resources,Empl Health/Wellness,Direct Expenses,290,140333,FALSE
General Fund,Human Resources,Empl Health/Wellness,Employee Benefits,6146.41,87833.91,FALSE
General Fund,Human Resources,Empl Health/Wellness,Miscellaneous,1475,3150,FALSE
General Fund,Human Resources,Empl Health/Wellness,Salaries and Wages,5509.65,255336.42,FALSE
General Fund,Human Resources,Employee Gain Sharing,Direct Expenses,0,10000,FALSE
General Fund,Human Resources,Employee Svc Prog,Direct Expenses,0,21625,FALSE
General Fund,Human Resources,Personnel Safety,Direct Expenses,-6700,31832,FALSE
General Fund,Human Resources,Personnel Safety,Employee Benefits,3615.2,76768.45,FALSE
General Fund,Human Resources,Personnel Safety,Miscellaneous,-1300,12100,FALSE
General Fund,Human Resources,Personnel Safety,Salaries and Wages,9257.16,252733.55,FALSE
General Fund,Human Resources,Recruit & Select/Empl Rel,Direct Expenses,-200,54753,FALSE
General Fund,Human Resources,Recruit & Select/Empl Rel,Employee Benefits,-132.82,50953.42,FALSE
General Fund,Human Resources,Recruit & Select/Empl Rel,Miscellaneous,-55385,84050,FALSE
General Fund,Human Resources,Recruit & Select/Empl Rel,Other Expense,9000,13000,FALSE
General Fund,Human Resources,Recruit & Select/Empl Rel,Salaries and Wages,-14006.81,198782.96,FALSE
General Fund,Human Resources,Tech & Spcl Proj-Personnel,Employee Benefits,627.77,24138.8,FALSE
General Fund,Human Resources,Tech & Spcl Proj-Personnel,Miscellaneous,9800,9800,FALSE
General Fund,Human Resources,Tech & Spcl Proj-Personnel,Salaries and Wages,1249.43,98242.18,FALSE
General Fund,Human Resources,Training/Career Devel,Direct Expenses,-2500,133870.82,FALSE
General Fund,Human Resources,Training/Career Devel,Employee Benefits,3380.44,71281.4,FALSE
General Fund,Human Resources,Training/Career Devel,Miscellaneous,500,235446.68,FALSE
General Fund,Human Resources,Training/Career Devel,Salaries and Wages,6986.66,213880.64,FALSE
General Fund,Human Resources,Workplace Healthcare,Direct Expenses,0,65000,FALSE
General Fund,Human Service Agencies,Aids Service Agency,Other Expense,0,14000,FALSE
General Fund,Human Service Agencies,Arts Commission Programs,Other Expense,4657,279301,FALSE
General Fund,Human Service Agencies,Aventwest Community Dev Corp,Other Expense,0,12500,FALSE
General Fund,Human Service Agencies,Boys & Girls Club,Other Expense,0,50000,FALSE
General Fund,Human Service Agencies,CASA,Other Expense,0,89000,FALSE
General Fund,Human Service Agencies,Comm in School of Wake Co,Other Expense,-5000,,FALSE
General Fund,Human Service Agencies,Community Partnereships,Other Expense,0,8000,FALSE
General Fund,Human Service Agencies,Community Success Initiative,Other Expense,5000,5000,FALSE
General Fund,Human Service Agencies,Dhic,Other Expense,-108000,,FALSE
General Fund,Human Service Agencies,Fellowship Home of Raleigh,Other Expense,5000,5000,FALSE
General Fund,Human Service Agencies,Filling In Gaps,Other Expense,0,10000,FALSE
General Fund,Human Service Agencies,Garner Rd Ymca,Other Expense,500,12000,FALSE
General Fund,Human Service Agencies,Guiding Lights,Other Expense,2500,2500,FALSE
General Fund,Human Service Agencies,Haven House,Other Expense,0,25000,FALSE
General Fund,Human Service Agencies,Healing Place,Other Expense,0,100000,FALSE
General Fund,Human Service Agencies,Homeless Support Circles,Other Expense,-51000,,FALSE
General Fund,Human Service Agencies,Hope Center,Other Expense,2000,12000,FALSE
General Fund,Human Service Agencies,Hopeline,Other Expense,5000,5000,FALSE
General Fund,Human Service Agencies,Hospice,Other Expense,0,25000,FALSE
General Fund,Human Service Agencies,Interact,Other Expense,0,75000,FALSE
General Fund,Human Service Agencies,Inter-Faith Food Shuttle,Other Expense,0,100000,FALSE
General Fund,Human Service Agencies,Legal Aid of North Carolina,Other Expense,0,50000,FALSE
General Fund,Human Service Agencies,"Lesbian, Gay, Bisexual Transgr",Other Expense,0,5000,FALSE
General Fund,Human Service Agencies,Love In Action,Other Expense,1000,1000,FALSE
General Fund,Human Service Agencies,Meals On Wheels,Other Expense,0,35000,FALSE
General Fund,Human Service Agencies,NC Theatre,Other Expense,5000,5000,FALSE
General Fund,Human Service Agencies,Nessie Foundation,Other Expense,3000,13000,FALSE
General Fund,Human Service Agencies,Pan Lutheran Ministries,Other Expense,0,25000,FALSE
General Fund,Human Service Agencies,"Passage Home Cdc, Inc.",Other Expense,-90000,,FALSE
General Fund,Human Service Agencies,Phi Lambda Educational Fdn,Other Expense,1000,1000,FALSE
General Fund,Human Service Agencies,Prevent Blindness of NC,Other Expense,0,7000,FALSE
General Fund,Human Service Agencies,Resources For Seniors,Other Expense,0,25000,FALSE
General Fund,Human Service Agencies,Safechild,Other Expense,3000,25000,FALSE
General Fund,Human Service Agencies,SE Wake Adult Daycare,Other Expense,0,25000,FALSE
General Fund,Human Service Agencies,Southlight,Other Expense,7000,25000,FALSE
General Fund,Human Service Agencies,Step Up Ministry,Other Expense,0,22000,FALSE
General Fund,Human Service Agencies,Tammy Lynn Center,Other Expense,0,100000,FALSE
General Fund,Human Service Agencies,Triangle Family Services,Other Expense,0,32000,FALSE
