LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,LEVEL
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,,,,5000,5741,13000,3
Revolving Fund,PRCR - Recreation,Adventure Camps,,,,89525,101745,105350,3
Revolving Fund,PRCR - Recreation,Anderson Point,,,,50000,45000,45000,3
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,,,,361335,443600,519900,3
Revolving Fund,PRCR - Recreation,Athletics,,,,315000,300000,290000,3
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,,,,220000,205000,290000,3
Revolving Fund,PRCR - Recreation,Esl Program,,,,11400,14000,5650,3
Revolving Fund,PRCR - Recreation,Fletcher Award Program,,,,4600,,,3
Revolving Fund,PRCR - Recreation,General Recreation,,,,303000,308000,278500,3
Revolving Fund,PRCR - Recreation,Golden Years,,,,163000,180000,220000,3
Revolving Fund,PRCR - Recreation,Non-Program Revenues,,,,3536735,3873070,4226831,3
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,,,,420000,380000,385000,3
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,,,,301252,245000,273000,3
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,,,,91000,91000,92000,3
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,,,,14500,16000,22500,3
Revolving Fund,PRCR - Recreation,Run For The Oaks,,,,20000,20000,,3
Revolving Fund,PRCR - Recreation,St Monica Teens,,,,15500,18500,,3
Revolving Fund,PRCR - Recreation,Teen Programs,,,,227500,341000,420000,3
Revolving Fund,PRCR - Recreation,Tennis,,,,467000,410000,410000,3
Revolving Fund,PRCR - Recreation,Tucker Mansion,,,,30000,31000,28000,3
Revolving Fund,PRCR - Recreation,Vhip,,,,65220,59000,67400,3
Revolving Fund,PRCR - Recreation,Youth Programs,,,,245000,284000,443000,3
Revolving Fund,PRCR - Resources,Arts Commission,,,,,,85535,3
Revolving Fund,PRCR-Arts Office,Arts Commission,,,,91535,85535,,3
Revolving Fund,PRCR-Urban Trees,Neighborhood Street Trees,,,,35000,30000,,3
Revolving Fund,Public Affairs-RTN,Ctv Equipment,,,,140000,435000,435000,3
Revolving Fund,Solid Waste Admin,Sws-Landfill Gas Recovery,,,,400000,,,3
Revolving Fund,Solid Waste Admin,Wglf Maintenance & Repair,,,,190820,,,3
Revolving Fund Total,,,,,,8376794,8398434,9292916,1
Sewer Reuse/Infrastructure Fd,Non-Departmental,Non-Program Revenues,,,,,,6112089,3
Sewer Reuse/Infrastructure Fd Total,,,,,,,,6112089,1
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues,,,,330486,396622,64476,3
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,,,,15534045,15667043,16624000,3
Stormwater Utility Fund Total,,,,,,15864531,16063665,16688476,1
SWS Debt Service Fund,Solid Waste Admin,Non-Program Revenues,,,,,2104075,2066000,3
SWS Debt Service Fund Total,,,,,,,2104075,2066000,1
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,,,,20177775,21230290,23345434,3
SWS Operating Fund,Solid Waste Admin,SWS-Administration,,,,11380030,11020702,11628083,3
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,,,,,325000,325000,3
SWS Operating Fund Total,,,,,,31557805,32575992,35298517,1
Transit CAMPO Fund,Planning  - CAMPO,Grant Year 2014/2015,,,,,,3243193,3
Transit CAMPO Fund Total,,,,,,,,3243193,1
Utility Debt Service Fund,Non-Departmental,Non-Program Revenues,,,,51589669,55236585,55631100,3
Utility Debt Service Fund Total,,,,,,51589669,55236585,55631100,1
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,General/Fixed Costs,,,,,1350193,1255817,3
Walnut Creek Amph Operating Fd Total,,,,,,,1350193,1255817,1
Water Infrastructure,Non-Departmental,Non-Program Revenues,838323396,,,,,2888422,3
Water Infrastructure Total,,,,,,,,2888422,1
REVENUES TOTAL,,,,,,838323396,880409136,945170692,0
