Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
General Fund,Police Field Operations,Employee Benefits,Dental Insurance Increment,-26689.44,-26689.44,false,0
General Fund,Development Services,Employee Benefits,Health Insurance Increment,-9424.54,-25224.65,false,0
General Fund,PRCR - Resources,Employee Benefits,Health Insurance Increment,-8059.7,-24897.27,false,0
General Fund,Office of the Fire Marshall,Employee Benefits,Health Insurance Increment,-5776.42,-21700.05,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Health Insurance Increment,-5385.52,-20325.26,false,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Health Insurance Increment,-3900.15,-19723.11,false,0
General Fund,Stormwater Street Maintenance,Employee Benefits,Health Insurance Increment,-4966.88,-19701.7,false,0
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,Health Insurance Increment,-6370.29,-19650.7,false,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Health Insurance Increment,-5598.15,-18811.43,false,0
General Fund,IT Application Support,Employee Benefits,Health Insurance Increment,-5801.32,-18242.05,false,0
General Fund,Human Resources,Employee Benefits,Health Insurance Increment,-4534.41,-18021.17,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Health Insurance Increment,-5634.94,-17343.69,false,0
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,Health Insurance Increment,-4997.98,-16909.64,false,0
General Fund,Police Chiefs Office,Employee Benefits,Health Insurance Increment,-3962.77,-16462.77,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Health Insurance Increment,-4766.26,-16413.75,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,Health Insurance Increment,-4081.41,-15636.82,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Health Insurance Increment,-4449.53,-15634.33,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Health Insurance Increment,-3204.66,-15272.69,false,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,Health Insurance Increment,-3629.26,-14817.4,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Health Insurance Increment,-1346.45,-14729.66,false,0
General Fund,PRCR - Parks - Highway Maint,Employee Benefits,Health Insurance Increment,-3367.17,-13389.59,false,0
General Fund,City Attorney,Employee Benefits,Health Insurance Increment,-4381.04,-13290.33,false,0
General Fund,Police Detective Division,Employee Benefits,Dental Insurance Increment,-11789.45,-11789.45,false,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Health Insurance Increment,-3130.8,-11580.28,false,0
Housing Development-Operating,Community Development,Employee Benefits,Health Insurance Increment,-2964.98,-11453.73,false,0
General Fund,PRCR - Parks - Urban Trees,Employee Benefits,Health Insurance Increment,-3499.57,-11184.35,false,0
General Fund,City Manager,Employee Benefits,Health Insurance Increment,-4077.53,-10922.65,false,0
General Fund,Community Svcs,Employee Benefits,Health Insurance Increment,-3419.59,-9313.67,false,0
General Fund,Revenue,Employee Benefits,Health Insurance Increment,-2396.73,-8139.43,false,0
General Fund,Construction Mgmt,Employee Benefits,Health Insurance Increment,-1842.92,-7684.87,false,0
Public Utilities Fund,PU Facilities Support,Employee Benefits,Health Insurance Increment,-1746.03,-7446.61,false,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Health Insurance Increment,-2313.6,-7006.01,false,0
General Fund,Fire Support Svcs,Employee Benefits,Health Insurance Increment,-2062.99,-6846.08,false,0
General Fund,Information Technology Admin,Employee Benefits,Health Insurance Increment,-3813.69,-6690.4,false,0
General Fund,IT Strategy & Planning,Employee Benefits,Health Insurance Increment,-2028,-6416.96,false,0
General Fund,PRCR - Recreation-School Based,Employee Benefits,Health Insurance Increment,-4720.37,-6194.07,false,0
General Fund,Public Affairs,Employee Benefits,Health Insurance Increment,-1284.31,-6056.69,false,0
General Fund,Fire Adm,Employee Benefits,Health Insurance Increment,-1749.83,-5879.61,false,0
General Fund,PRCR - Business Process Mgmt,Employee Benefits,Health Insurance Increment,-1040.78,-5858.85,false,0
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,Dental Insurance Increment,-5696.26,-5696.26,false,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Dental Insurance Increment,-5622.94,-5622.94,false,0
General Fund,PRCR - Recreation,Employee Benefits,Dental Insurance Increment,-5578.85,-5578.85,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,Dental Insurance Increment,-5547.65,-5547.65,false,0
General Fund,Transportation Field Services,Employee Benefits,Dental Insurance Increment,-5321.63,-5321.63,false,0
General Fund,Fire Training,Employee Benefits,Health Insurance Increment,-1418.7,-5162.2,false,0
General Fund,Emergency Communications,Employee Benefits,Dental Insurance Increment,-5124.49,-5124.49,false,0
Public Utilities Fund,Resource Recovery,Employee Benefits,Dental Insurance Increment,-5027.09,-5027.09,false,0
Public Utilities Fund,PU Water Distribution,Employee Benefits,Dental Insurance Increment,-4959.43,-4959.43,false,0
General Fund,Public Works,Employee Benefits,Dental Insurance Increment,-4889.39,-4889.39,false,0
General Fund,Police Special Operations,Employee Benefits,Dental Insurance Increment,-4785.86,-4785.86,false,0
Public Utilities Fund,PU Water Plant,Employee Benefits,Dental Insurance Increment,-4690.72,-4690.72,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Employee Benefits,Health Insurance Increment,-1158.13,-4671.72,false,0
General Fund,Budget & Management Services,Employee Benefits,Health Insurance Increment,-1588.06,-4553.3,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Health Insurance Increment,-1807.72,-4514.49,false,0
General Fund,Public Affairs-RTN,Employee Benefits,Health Insurance Increment,-1310.81,-4401,false,0
General Fund,City Council,Employee Benefits,Health Insurance Increment,-1525.16,-3985.6,false,0
Public Utilities Fund,PU Meters,Employee Benefits,Dental Insurance Increment,-3808.88,-3808.88,false,0
General Fund,Police Administrative Services,Employee Benefits,Dental Insurance Increment,-3792.73,-3792.73,false,0
General Fund,Inspections,Employee Benefits,Dental Insurance Increment,-3163.76,-3163.76,false,0
General Fund,Purchasing,Employee Benefits,Health Insurance Increment,-782.12,-3069.06,false,0
General Fund,Payroll,Employee Benefits,Health Insurance Increment,-1273.97,-2936.88,false,0
Stormwater Utility Fund,Stormwater Management,Employee Benefits,Dental Insurance Increment,-2870.08,-2870.08,false,0
General Fund,Office of Economic Development,Employee Benefits,Health Insurance Increment,-997.48,-2866.02,false,0
General Fund,Planning,Employee Benefits,Dental Insurance Increment,-2863.67,-2863.67,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Health Insurance Increment,-1058.8,-2797.25,false,0
General Fund,Treasury Office,Employee Benefits,Health Insurance Increment,-571.01,-2748.71,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Dental Insurance Increment,-2652.92,-2652.92,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Health Insurance Increment,147.95,-2527.41,false,0
General Fund,Development Services,Employee Benefits,Dental Insurance Increment,-2527,-2527,false,0
General Fund,Office of Sustainability,Employee Benefits,Health Insurance Increment,-693.89,-2478.89,false,0
Public Utilities Fund,PU Utility Billing,Employee Benefits,Dental Insurance Increment,-2334.75,-2334.75,false,0
General Fund,City Clerk,Employee Benefits,Health Insurance Increment,-611.8,-2301.12,false,0
General Fund,Internal Audit Office,Employee Benefits,Health Insurance Increment,-970.85,-2276.76,false,0
General Fund,PRCR - Resources,Employee Benefits,Dental Insurance Increment,-2268.49,-2268.49,false,0
SWS Operating Fund,Solid Waste Recycling,Employee Benefits,Dental Insurance Increment,-1966.92,-1966.92,false,0
General Fund,PRCR - F&O - City Fac Maint,Employee Benefits,Dental Insurance Increment,-1824.16,-1824.16,false,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Dental Insurance Increment,-1823.07,-1823.07,false,0
General Fund,Office of the Fire Marshall,Employee Benefits,Dental Insurance Increment,-1808.66,-1808.66,false,0
General Fund,Stormwater Street Maintenance,Employee Benefits,Dental Insurance Increment,-1769,-1769,false,0
General Fund,Neighborhood Code Enforcement,Employee Benefits,Dental Insurance Increment,-1750.61,-1750.61,false,0
General Fund,Finance Administration,Employee Benefits,Health Insurance Increment,-686.06,-1634.25,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Dental Insurance Increment,-1633.12,-1633.12,false,0
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,Dental Insurance Increment,-1617.92,-1617.92,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Health Insurance Increment,-327.33,-1561.84,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,Dental Insurance Increment,-1546.73,-1546.73,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Health Insurance Increment,18.4,-1482.43,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Dental Insurance Increment,-1452.98,-1452.98,false,0
General Fund,Police Chiefs Office,Employee Benefits,Dental Insurance Increment,-1444.58,-1444.58,false,0
General Fund,IT Application Support,Employee Benefits,Dental Insurance Increment,-1433.8,-1433.8,false,0
General Fund,Human Resources,Employee Benefits,Dental Insurance Increment,-1418.72,-1418.72,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Dental Insurance Increment,-1336.26,-1336.26,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Dental Insurance Increment,-1328.98,-1328.98,false,0
General Fund,PRCR - Strategic Plan & Devel,Employee Benefits,Dental Insurance Increment,-1307.15,-1307.15,false,0
General Fund,City Attorney,Employee Benefits,Dental Insurance Increment,-1196.5,-1196.5,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Dental Insurance Increment,-1154.34,-1154.34,false,0
General Fund,PRCR - Parks - Highway Maint,Employee Benefits,Dental Insurance Increment,-1136.44,-1136.44,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Health Insurance Increment,-243.63,-1023.32,false,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Dental Insurance Increment,-1002.36,-1002.36,false,0
Housing Development-Operating,Community Development,Employee Benefits,Dental Insurance Increment,-935.61,-935.61,false,0
General Fund,City Manager,Employee Benefits,Dental Insurance Increment,-884.35,-884.35,false,0
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Health Insurance Increment,-882.55,-882.55,false,0
General Fund,PRCR - Parks - Urban Trees,Employee Benefits,Dental Insurance Increment,-817.05,-817.05,false,0
General Fund,Community Svcs,Employee Benefits,Dental Insurance Increment,-812.15,-812.15,false,0
General Fund,Construction Mgmt,Employee Benefits,Dental Insurance Increment,-746.64,-746.64,false,0
General Fund,Revenue,Employee Benefits,Dental Insurance Increment,-725.49,-725.49,false,0
General Fund,Fire Support Svcs,Employee Benefits,Dental Insurance Increment,-691.13,-691.13,false,0
Public Utilities Fund,PU Facilities Support,Employee Benefits,Dental Insurance Increment,-682.92,-682.92,false,0
General Fund,Public Affairs,Employee Benefits,Dental Insurance Increment,-548.56,-548.56,false,0
General Fund,PRCR - Business Process Mgmt,Employee Benefits,Dental Insurance Increment,-542.99,-542.99,false,0
General Fund,PW-Safelight,Employee Benefits,Health Insurance Increment,34.76,-541.44,false,0
General Fund,Fire Adm,Employee Benefits,Dental Insurance Increment,-532.27,-532.27,false,0
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Employee Benefits,Health Insurance Increment,161.49,-520.73,false,0
General Fund,PRCR - Recreation-School Based,Employee Benefits,Dental Insurance Increment,-512.63,-512.63,false,0
General Fund,IT Strategy & Planning,Employee Benefits,Dental Insurance Increment,-508.09,-508.09,false,0
General Fund,Information Technology Admin,Employee Benefits,Dental Insurance Increment,-492.24,-492.24,false,0
General Fund,Fire Training,Employee Benefits,Dental Insurance Increment,-489,-489,false,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Dental Insurance Increment,-461.67,-461.67,false,0
General Fund,Public Affairs-RTN,Employee Benefits,Dental Insurance Increment,-430.25,-430.25,false,0
General Fund,Budget & Management Services,Employee Benefits,Dental Insurance Increment,-429.89,-429.89,false,0
General Fund,City Council,Employee Benefits,Dental Insurance Increment,-366.08,-366.08,false,0
Grants Fund,Community Svcs,Employee Benefits,Health Insurance Increment,-341.11,-341.11,false,0
General Fund,Office of Economic Development,Employee Benefits,Dental Insurance Increment,-319.64,-319.64,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Employee Benefits,Dental Insurance Increment,-319.64,-319.64,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Dental Insurance Increment,-316.11,-316.11,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Employee Benefits,Dental Insurance Increment,-279.64,-279.64,false,0
General Fund,Purchasing,Employee Benefits,Dental Insurance Increment,-270.33,-270.33,false,0
General Fund,Payroll,Employee Benefits,Dental Insurance Increment,-262.02,-262.02,false,0
General Fund,Internal Audit Office,Employee Benefits,Dental Insurance Increment,-244.74,-244.74,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Employee Benefits,Dental Insurance Increment,-202.3,-202.3,false,0
General Fund,Treasury Office,Employee Benefits,Dental Insurance Increment,-200.4,-200.4,false,0
General Fund,Office of Sustainability,Employee Benefits,Dental Insurance Increment,-196.78,-196.78,false,0
General Fund,City Clerk,Employee Benefits,Dental Insurance Increment,-181.99,-181.99,false,0
General Fund,PRCR - Parks - Cemetery Maint,Employee Benefits,Dental Insurance Increment,-146.05,-146.05,false,0
General Fund,Finance Administration,Employee Benefits,Dental Insurance Increment,-132.59,-132.59,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Employee Benefits,Dental Insurance Increment,-104.35,-104.35,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Dental Insurance Increment,-104.35,-104.35,false,0
General Fund,Housing & Neighborhoods Dept,Employee Benefits,Dental Insurance Increment,-77.63,-77.63,false,0
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Employee Benefits,Dental Insurance Increment,-45.32,-45.32,false,0
General Fund,PW-Safelight,Employee Benefits,Dental Insurance Increment,-42.85,-42.85,false,0
Grants Fund,Community Svcs,Employee Benefits,Dental Insurance Increment,-34.78,-34.78,false,0
Community Dev Block Grant,Community Development,Employee Benefits,Employee Benefits,-183627,0,false,0
Community Dev Block Grant,Community Development,Employee Benefits,Opeb- Post Employment Benefits,-36952,0,false,0
Community Dev Block Grant,Community Development,Other Expense,Rehabilitation/Rehab Loans - G,-141000,0,false,0
Community Dev Block Grant,Community Development,Salaries and Wages,Salary Reserve,-623469,0,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Direct Expenses,Rsv-Program,-75000,0,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Other Expense,Sir Prop/Liab Claims,-308,0,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Other Expense,To Isf-Excess Prop/Liab Prem,-592,0,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Merit Increase,-23.32,0,false,0
E 911 State Tax Fund-Operating,Emergency Communications,Salaries and Wages,Range Increase,-23.32,0,false,0
Economic Development Fund,Budget & Management Services,Interfund Transfers In/Out,To 515 Sidewalk,-27500,0,false,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Earnings Offset,-1538,0,false,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Merit Increase,-80.08,0,false,0
General Fund,Accounting & Fin Reporting,Salaries and Wages,Range Increase,-80.08,0,false,0
General Fund,Budget & Management Services,Direct Expenses,Computer Operations & Access,-2030,0,false,0
General Fund,Budget & Management Services,Direct Expenses,Telephone/Comm (Hard Lines),-795,0,false,0
General Fund,Budget & Management Services,Salaries and Wages,Merit Increase,-64.08,0,false,0
General Fund,Budget & Management Services,Salaries and Wages,Range Increase,-64.08,0,false,0
General Fund,City Attorney,Salaries and Wages,Earnings Offset,-2216,0,false,0
General Fund,City Attorney,Salaries and Wages,Merit Increase,-147.22,0,false,0
General Fund,City Attorney,Salaries and Wages,Range Increase,-147.22,0,false,0
General Fund,City Clerk,Salaries and Wages,Merit Increase,-15.93,0,false,0
General Fund,City Clerk,Salaries and Wages,Range Increase,-15.93,0,false,0
General Fund,City Council,Miscellaneous,Organization Dev & Training,-10000,0,false,0
General Fund,City Manager,Direct Expenses,Repairs-Office Equip,-200,0,false,0
General Fund,City Manager,Miscellaneous,Organization Dev & Training,-1000,0,false,0
General Fund,City Manager,Salaries and Wages,Merit Increase,-66.04,0,false,0
General Fund,City Manager,Salaries and Wages,Range Increase,-66.04,0,false,0
General Fund,Community Svcs,Direct Expenses,Rsv-Contingency,-49000,0,false,0
General Fund,Community Svcs,Other Expense,Grant Match City Share,-105783,0,false,0
General Fund,Community Svcs,Salaries and Wages,Earnings Offset,-1473,0,false,0
General Fund,Community Svcs,Salaries and Wages,Merit Increase,-41.41,0,false,0
General Fund,Community Svcs,Salaries and Wages,Range Increase,-41.41,0,false,0
General Fund,Construction Mgmt,Salaries and Wages,Earnings Offset,-7787,0,false,0
General Fund,Construction Mgmt,Salaries and Wages,Merit Increase,-85.03,0,false,0
General Fund,Construction Mgmt,Salaries and Wages,Range Increase,-85.03,0,false,0
General Fund,Development Services,Direct Expenses,Rsv-Wide Area Network,-980,0,false,0
General Fund,Development Services,Salaries and Wages,Earnings Offset,-212,0,false,0
General Fund,Development Services,Salaries and Wages,Merit Increase,-160.24,0,false,0
General Fund,Development Services,Salaries and Wages,Range Increase,-160.24,0,false,0
General Fund,Emergency Communications,Salaries and Wages,Earnings Offset,-4865,0,false,0
General Fund,Emergency Communications,Salaries and Wages,Merit Increase,-310.98,0,false,0
General Fund,Emergency Communications,Salaries and Wages,Range Increase,-310.98,0,false,0
General Fund,Finance Administration,Salaries and Wages,Earnings Offset,-7514,0,false,0
General Fund,Finance Administration,Salaries and Wages,Merit Increase,-4.44,0,false,0
General Fund,Finance Administration,Salaries and Wages,Range Increase,-4.44,0,false,0
General Fund,Fire Adm,Direct Expenses,Rsv-Wide Area Network,-1123,0,false,0
General Fund,Fire Adm,Salaries and Wages,Earnings Offset,-887,0,false,0
General Fund,Fire Adm,Salaries and Wages,Merit Increase,-41.37,0,false,0
General Fund,Fire Adm,Salaries and Wages,Range Increase,-41.37,0,false,0
General Fund,Fire Operations,Direct Expenses,Safety/Medical Supplies,-89875,0,false,0
General Fund,Fire Operations,Miscellaneous,Licenses/Dues & Publications,-12940,0,false,0
General Fund,Fire Operations,Salaries and Wages,Earnings Offset,-60826,0,false,0
General Fund,Fire Operations,Salaries and Wages,Merit Increase,-1663.62,0,false,0
General Fund,Fire Operations,Salaries and Wages,Range Increase,-1663.62,0,false,0
General Fund,Fire Support Svcs,Miscellaneous,Licenses/Dues & Publications,-310,0,false,0
General Fund,Fire Support Svcs,Salaries and Wages,Earnings Offset,-305,0,false,0
General Fund,Fire Support Svcs,Salaries and Wages,Merit Increase,-33.46,0,false,0
General Fund,Fire Support Svcs,Salaries and Wages,Range Increase,-33.46,0,false,0
General Fund,Fire Training,Miscellaneous,Licenses/Dues & Publications,-1339,0,false,0
General Fund,Fire Training,Salaries and Wages,Earnings Offset,-6354,0,false,0
General Fund,Fire Training,Salaries and Wages,Merit Increase,-4.08,0,false,0
General Fund,Fire Training,Salaries and Wages,Range Increase,-4.08,0,false,0
General Fund,Fire-Hazmat Operations,Direct Expenses,Computer Lease,-272,0,false,0
General Fund,Human Resources,Salaries and Wages,Earnings Offset,-4056,0,false,0
General Fund,Human Resources,Salaries and Wages,Merit Increase,-165.73,0,false,0
General Fund,Human Resources,Salaries and Wages,Range Increase,-165.73,0,false,0
General Fund,Human Service Agencies,Other Expense,Other External Agencies,-249000,0,false,0
General Fund,Information Technology Admin,Salaries and Wages,Earnings Offset,-589,0,false,0
General Fund,Information Technology Admin,Salaries and Wages,Merit Increase,-9.9,0,false,0
General Fund,Information Technology Admin,Salaries and Wages,Range Increase,-9.9,0,false,0
General Fund,Inspections,Direct Expenses,Rsv-Wide Area Network,-2839,0,false,0
General Fund,Inspections,Salaries and Wages,Earnings Offset,-2101,0,false,0
General Fund,Inspections,Salaries and Wages,Merit Increase,-257.87,0,false,0
General Fund,Inspections,Salaries and Wages,Range Increase,-257.87,0,false,0
General Fund,Internal Audit Office,Direct Expenses,Rental-Real Property,-20295,0,false,0
General Fund,Internal Audit Office,Direct Expenses,Repairs-Bldg/Structure,-10000,0,false,0
General Fund,Internal Audit Office,Direct Expenses,Telephone/Comm (Hard Lines),-500,0,false,0
General Fund,Internal Audit Office,Salaries and Wages,Earnings Offset,-938,0,false,0
General Fund,Internal Audit Office,Salaries and Wages,Merit Increase,-24,0,false,0
General Fund,Internal Audit Office,Salaries and Wages,Range Increase,-24,0,false,0
General Fund,IT Application Support,Salaries and Wages,Earnings Offset,-1831,0,false,0
General Fund,IT Application Support,Salaries and Wages,Merit Increase,-127.04,0,false,0
General Fund,IT Application Support,Salaries and Wages,Range Increase,-127.04,0,false,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Computer Lease,-276101,0,false,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Office Supplies,-500,0,false,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,Print Copy-Rmb,-1199,0,false,0
General Fund,IT Customer Relationship Mgt,Salaries and Wages,Merit Increase,-45.16,0,false,0
General Fund,IT Customer Relationship Mgt,Salaries and Wages,Range Increase,-45.16,0,false,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Computer Lease,-770038,0,false,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Earnings Offset,-1009,0,false,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Merit Increase,-147.61,0,false,0
General Fund,IT Enterprise Infrastructure M,Salaries and Wages,Range Increase,-147.61,0,false,0
General Fund,IT Strategy & Planning,Salaries and Wages,Merit Increase,-70.29,0,false,0
General Fund,IT Strategy & Planning,Salaries and Wages,Range Increase,-70.29,0,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Building Demolition,-50000,0,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Uniforms,-2000,0,false,0
General Fund,Neighborhood Code Enforcement,Salaries and Wages,Merit Increase,-123.25,0,false,0
General Fund,Neighborhood Code Enforcement,Salaries and Wages,Range Increase,-123.25,0,false,0
General Fund,Office of Economic Development,Salaries and Wages,Merit Increase,-30.88,0,false,0
General Fund,Office of Economic Development,Salaries and Wages,Range Increase,-30.88,0,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Salaries and Wages,Merit Increase,-6.04,0,false,0
General Fund,Office of Emerg Mgmt & Spec Ev,Salaries and Wages,Range Increase,-6.04,0,false,0
General Fund,Office of Sustainability,Salaries and Wages,Merit Increase,-28.38,0,false,0
General Fund,Office of Sustainability,Salaries and Wages,Range Increase,-28.38,0,false,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Earnings Offset,-7892,0,false,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Merit Increase,-138.85,0,false,0
General Fund,Office of the Fire Marshall,Salaries and Wages,Range Increase,-138.85,0,false,0
General Fund,Payroll,Employee Benefits,Police 401K Temp,-250,0,false,0
General Fund,Payroll,Salaries and Wages,Merit Increase,-8.86,0,false,0
General Fund,Payroll,Salaries and Wages,Range Increase,-8.86,0,false,0
General Fund,Planning,Capital Equipment,Office Furniture & Equip,-400,0,false,0
General Fund,Planning,Direct Expenses,Cellular/Wireless Voice Lines,-180,0,false,0
General Fund,Planning,Direct Expenses,Rsv-Wide Area Network,-1600,0,false,0
General Fund,Planning,Other Expense,Boards & Commissions,-3000,0,false,0
General Fund,Planning,Salaries and Wages,Earnings Offset,-6008,0,false,0
General Fund,Planning,Salaries and Wages,Merit Increase,-245.32,0,false,0
General Fund,Planning,Salaries and Wages,Range Increase,-245.32,0,false,0
General Fund,Police Administrative Services,Direct Expenses,Rsv-Wide Area Network,-68591,0,false,0
General Fund,Police Administrative Services,Employee Benefits,Police 401K Temp,-2000,0,false,0
General Fund,Police Administrative Services,Salaries and Wages,Earnings Offset,-18066,0,false,0
General Fund,Police Administrative Services,Salaries and Wages,Merit Increase,-165.24,0,false,0
General Fund,Police Administrative Services,Salaries and Wages,Range Increase,-165.24,0,false,0
General Fund,Police Chiefs Office,Employee Benefits,Police 401K Temp,-400,0,false,0
General Fund,Police Chiefs Office,Salaries and Wages,Earnings Offset,-10219,0,false,0
General Fund,Police Chiefs Office,Salaries and Wages,Merit Increase,-64.19,0,false,0
General Fund,Police Chiefs Office,Salaries and Wages,Range Increase,-64.19,0,false,0
General Fund,Police Detective Division,Employee Benefits,Police 401K Temp,-7500,0,false,0
General Fund,Police Detective Division,Salaries and Wages,Earnings Offset,-102652,0,false,0
General Fund,Police Detective Division,Salaries and Wages,Merit Increase,-437.01,0,false,0
General Fund,Police Detective Division,Salaries and Wages,Range Increase,-437.01,0,false,0
General Fund,Police Field Operations,Employee Benefits,Police 401K Temp,-3750,0,false,0
General Fund,Police Field Operations,Salaries and Wages,Earnings Offset,-127154,0,false,0
General Fund,Police Field Operations,Salaries and Wages,Merit Increase,-852.49,0,false,0
